time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 09:32:03.814000128,2.9
2017-08-21 09:33:08.468999680,3.0
2017-08-21 09:34:11.739000320,2.8
2017-08-21 09:35:16.744999936,2.9
2017-08-21 09:36:20.991000064,2.9
2017-08-21 09:36:54.503999488,3.0
2017-08-21 09:37:56.331999744,3.0
2017-08-21 09:39:00.599000064,3.1
2017-08-21 09:40:04.836999680,3.0
2017-08-21 09:41:09.112000000,3.1
2017-08-21 09:42:13.440000000,3.1
2017-08-21 09:43:17.665999872,3.0
2017-08-21 09:44:22.864999936,3.1
2017-08-21 09:44:55.532000256,3.0
2017-08-21 09:45:59.776000000,2.9
2017-08-21 09:47:04.680999936,2.9
2017-08-21 09:48:08.960000000,2.9
2017-08-21 09:49:13.304000000,2.9
2017-08-21 09:50:18.270000128,2.8
2017-08-21 09:51:22.558000128,2.9
2017-08-21 09:51:54.673000448,3.0
2017-08-21 09:52:58.948999680,2.9
2017-08-21 09:54:03.446000128,2.9
2017-08-21 09:55:08.522000384,2.8
2017-08-21 09:56:12.840000000,2.7
2017-08-21 09:57:17.135999488,2.8
2017-08-21 09:58:22.062999552,2.7
2017-08-21 09:58:54.495000064,2.7
2017-08-21 09:59:59.512999936,2.5
2017-08-21 10:01:03.750000128,2.5
2017-08-21 10:02:08.167000064,2.4
2017-08-21 10:03:13.213999616,2.4
2017-08-21 10:04:17.631000064,2.4
2017-08-21 10:05:22.388000256,2.4
2017-08-21 10:05:54.500999680,2.5
2017-08-21 10:06:58.760000000,2.4
2017-08-21 10:08:02.994999808,2.5
2017-08-21 10:09:07.390999552,2.4
2017-08-21 10:10:12.309000192,2.3
2017-08-21 10:11:16.555999744,2.4
2017-08-21 10:12:20.885000192,2.3
2017-08-21 10:12:54.484999680,2.3
2017-08-21 10:13:58.734000128,2.4
2017-08-21 10:15:03.269000192,2.2
2017-08-21 10:16:07.661000192,2.2
2017-08-21 10:17:11.923999744,2.2
2017-08-21 10:18:16.719000064,2.3
2017-08-21 10:19:24.237000192,2.2
2017-08-21 10:19:56.351000064,2.3
2017-08-21 10:21:00.719000064,2.2
2017-08-21 10:22:05.203000320,2.3
2017-08-21 10:23:09.480999936,2.2
